Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Year,Looks,Body Type,Engine Type,Number of Cylinders,Price (SEK),Usage Type
Aprilia,Italy,RS 660,659.0,100.0,67.0,Manual,Chain,2,2021,Sport,Naked/Street,Parallel-twin,2.0,120890.0,Street
Aprilia,Italy,Tuono 660,659.0,100.0,67.0,Manual,Chain,2,2021,Sport,Naked/Street,Parallel-twin,2.0,131890.0,Street
Aprilia,Italy,RS 125,124.9,15.0,12.0,Manual,Chain,2,2022,Sport,Sport,Single-cylinder,1.0,49390.0,Race
Aprilia,Italy,Shiver 900,896.0,95.0,90.0,Manual,Shaft Drive,2,2022,Adventure,Naked/Street,V-twin,2.0,153890.0,Street
Aprilia,Italy,Tuono 1100,1077.0,175.0,121.0,Manual,Shaft Drive,2,2022,Adventure,Naked/Street,V-twin,2.0,219890.0,Street
Benelli,Italy,TNT 125,125.0,11.0,10.8,Manual,Chain,2,2023,Classic,Sport,Single-cylinder,1.0,13750.0,Race
Benelli,Italy,TNT 250,250.0,27.0,21.2,Manual,Chain,2,2023,Sport,Sport,Single-cylinder,1.0,19250.0,Race
Benelli,Italy,TNT 300,300.0,39.0,26.5,Manual,Chain,2,2023,Classic,Sport,Single-cylinder,1.0,22000.0,Race
Benelli,Italy,TNT 600i,600.0,85.0,54.6,Manual,Chain,2,2023,Sport,Sport,Parallel-twin,2.0,44000.0,Race
Benelli,Italy,TNT 899,899.0,116.0,86.3,Manual,Chain,2,2023,Sport,Sport,Inline-three,3.0,66000.0,Race
Benelli,Italy,TRK 251,250.0,27.0,21.2,Manual,Chain,2,2023,Adventure,Adventure,Single-cylinder,1.0,24750.0,Touring
Benelli,Italy,TRK 502,500.0,47.0,46.0,Manual,Chain,2,2023,Adventure,Adventure,Parallel-twin,2.0,38500.0,Touring
Benelli,Italy,Leoncino 500,500.0,47.0,46.0,Manual,Chain,2,2023,Retro,Cruiser,Parallel-twin,2.0,35750.0,Cruise
BMW,Germany,G 310 GS,313.0,34.0,28.0,Manual,Chain,2,2023,Adventure,Adventure,Single-cylinder,1.0,33000.0,Touring
BMW,Germany,G 310 R,313.0,34.0,28.0,Manual,Chain,2,2023,Sport,Naked/Street,Single-cylinder,1.0,27500.0,Street
BMW,Germany,F 850 GS,853.0,95.0,92.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Parallel-twin,2.0,66000.0,Touring
BMW,Germany,F 850 GS Adventure,853.0,95.0,92.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Parallel-twin,2.0,88000.0,Touring
BMW,Germany,R 1250 GS,1170.0,136.0,112.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Boxer,2.0,132000.0,Touring
BMW,Germany,R 1250 RT,1170.0,136.0,112.0,Manual,Shaft Drive,2,2023,Adventure,Cruiser,Boxer,2.0,154000.0,Cruise
BMW,Germany,S 1000 RR,999.0,199.0,113.0,Manual,Chain,2,2023,Sport,Sport,Other,4.0,176000.0,Race
BMW,Germany,S 1000 R,999.0,165.0,112.0,Manual,Chain,2,2023,Sport,Naked/Street,Other,4.0,132000.0,Street
Brixton Motorcycles,Austria,Cromwell 125,125.0,11.7,11.9,Manual,Chain,1,2022,Classic,Cafe Racer,Single-cylinder,1.0,16500.0,Street
Brixton Motorcycles,Austria,BX 150,149.0,11.7,11.9,Manual,Chain,2,2022,Classic,Cruiser,Single-cylinder,1.0,13750.0,Cruise
Brixton Motorcycles,Austria,Crossfire 500,500.0,41.0,38.0,Manual,Chain,2,2022,Adventure,Scrambler,Other,1.0,38500.0,Street
Brixton Motorcycles,Austria,Crossfire 500 X,500.0,41.0,38.0,Manual,Chain,2,2022,Adventure,Cafe Racer,Other,1.0,41250.0,Street
Brixton Motorcycles,Austria,Sunray 500,500.0,41.0,38.0,Manual,Chain,2,2022,Classic,Cruiser,Other,1.0,44000.0,Cruise
Buell Motorcycle Company,USA,Blast,492.0,45.0,37.0,Manual,Chain,1,2005,Classic,Naked/Street,Other,1.0,49500.0,Street
Buell Motorcycle Company,USA,Lightning,984.0,110.0,97.0,Manual,Belt,1,2003,Sport,Sport,Other,2.0,110000.0,Race
Buell Motorcycle Company,USA,Ulysses,1125.0,96.0,98.0,Manual,Belt,2,2006,Adventure,Adventure,Other,2.0,143000.0,Touring
Buell Motorcycle Company,USA,XB9R Firebolt,984.0,110.0,97.0,Manual,Chain,1,2003,Sport,Naked/Street,Other,2.0,121000.0,Street
Buell Motorcycle Company,USA,XB12S Lightning,1201.0,105.0,103.0,Manual,Chain,1,2005,Sport,Sport,Other,2.0,132000.0,Race
Cagiva,Italy,Raptor 125,124.9,15.0,12.0,Manual,Chain,1,2005,Sport,Naked/Street,Single-cylinder,1.0,16500.0,Street
Cagiva,Italy,Mito 125,125.0,15.0,12.0,Manual,Chain,1,2002,Sport,Sport,Single-cylinder,1.0,13750.0,Race
Cagiva,Italy,Elefant 900,893.0,80.0,66.0,Manual,Chain,2,1994,Adventure,Adventure,V-twin,2.0,88000.0,Touring
Cagiva,Italy,V-Raptor 1000,998.0,100.0,95.0,Manual,Chain,1,1998,Sport,Sport,Other,2.0,110000.0,Race
Cagiva,Italy,Gran Canyon 1100,1078.0,95.0,98.0,Manual,Chain,2,2000,Adventure,Adventure,Other,2.0,121000.0,Touring
CCM,UK,Spitfire 650,650.0,65.0,54.0,Manual,Chain,1,2022,Classic,Naked/Street,Parallel-twin,2.0,132000.0,Street
CCM,UK,GP450R,450.0,60.0,40.0,Manual,Chain,1,2022,Sport,Enduro,Other,1.0,110000.0,Off-road
